Key,English,Spanish,French,German,Russian,Japanese,Korean,Portuguese,Vietnamese,Indonesian,ChineseSimplified,ChineseTraditional
NoteEventUnlockSongDes,Congratulations! You have successfully unlocked a new song!,¡Enhorabuena! ¡Has desbloqueado con éxito una nueva canción!,Félicitations ! Vous avez débloqué un nouveau morceau avec succès !,Congratulations! You have successfully unlocked a new song!,Поздравляем! Вы успешно разблокировали новую песню!,おめでとうございます！ 新しい曲をアンロックしました！,축하합니다! 새 노래를 여는데 성공했습니다!,Parabéns! Você desbloqueou uma nova música!,Chúc mừng! Bạn đã mở bài hát mời thành công!,Selamat! Anda berhasil membuka lagu baru!,恭喜！你已成功解锁一首新歌！,恭喜！您已成功解鎖一首新歌！
NoteEventTryEndGameDes,Collect Notes to unlock the full version or buy now,Reúne notas para desbloquear la versión completa o cómprala ahora,Recueillez des notes pour déverrouiller la version complète ou achetez-la maintenant,Collect Notes to unlock the full version or buy now,"Соберите заметки, чтобы разблокировать полную версию или купить сейчас",フルバージョンをアンロックするためにメモを集めるか今すぐ購入する,노트를 수집하여 전체 버전을 열거나 지금 구매,Colete notas para desbloquear a versão completa ou compre agora,Sưu tầm Notes để mở phiên bản đầy đủ hoặc mua ngay!,Kumpulkan Nada untuk membuka versi penuh atau beli sekarang,收集音符可解锁完整版或现在购买,收集音符以解鎖完整版或立即購買
SECOND_CHANCE,SECOND CHANCE?,¿SEGUNDA OPORTUNIDAD?,DEUXIÈME CHANCE ?,SECOND CHANCE?,ВТОРОЙ ШАНС?,やり直しますか？,한 번 더 해볼까요?,SEGUNDA CHANCE?,CƠ HỘI THỨ 2,KESEMPATAN KEDUA?,第二次机会？,再一次機會？
REQUIRE_1_STAR,Require 1 star of,Necesitas 1 estrella de,Nécessite 1 étoile de,Require 1 star of,Требуется 1 звезда,星が1つ必要です,별 1개 필요:,Exige 1 estrela de,Yêu cầu đạt 1 sao ở,Membutuhkan 1 bintang dari,需要 1 颗星,需要 1 顆星的
REQUIRE_2_STAR,Require 2 stars of,Necesitas 2 estrellas de,Nécessite 2 étoiles de,Require 2 stars of,Требуется 2 звезды,星が2つ必要です,별 2개 필요:,Exige 2 estrelas de,Yêu cầu đạt 2 sao ở,Membutuhkan 2 bintang dari,需要 2 颗星,需要 2 顆星的
REQUIRE_3_STAR,Require 3 stars of,Necesitas 3 estrellas de,Nécessite 3 étoiles de,Require 3 stars of,Требуется 3 звезды,星が3つ必要です,별 3개 필요:,Exige 3 estrelas de,Yêu cầu đạt 3 sao ở,Membutuhkan 3 bintang dari,需要 3 颗星,需要 3 顆星的
MYSTERY_BOX,MYSTERY BOX,CAJA MISTERIOSA,BOITE MYSTÈRE,MYSTERY BOX,ТАЙНАЯ КОРОБКА,ミステリーボックス,미스터리 박스,CAIXA MISTERIOSA,HỘP QUÀ BÍ MẬT,KOTAK MISTERI,神秘盒,神秘箱
SUPER_BOX_GOLD,SUPER GOLD BOX,SUPER CAJA DORADA,SUPER BOÎTE D'OR,SUPER GOLD BOX,СУПЕР ЗОЛОТАЯ КОРОБКА,スーパーゴールドボックス,슈퍼 골드 박스,SUPER CAIXA DE OURO,HỘP QUÀ KHỦNG,KOTAK EMAS SUPER,超级黄金盒,超級黃金箱
HOT,HOT,CALIENTE,À LA UNE,HOT,ГОРЯЧИЙ,ホット,인기,QUENTE,HOT,PANAS,热门,熱門
VIBRATE,VIBRATE,VIBRAR,VIBRER,VIBRIEREN,свежий,バイブレーション機能,진동,VIBRAR,RUNG,BERGETAR,颤动,顫動
PRIVACY_POLICY,PRIVACY POLICY,POLÍTICA DE PRIVACIDAD,POLITIQUE DE CONFIDENTIALITÉ,DATENSCHUTZERKLÄRUNG,ПОЛИТИКА КОНФИДЕНЦИАЛЬНОСТИ,個人情報保護方針,개인정보 보호방침,POLÍTICA DE PRIVACIDADE,CHÍNH SÁCH BẢO MẬT,KEBIJAKAN PRIVASI,隐私政策,隱私政策
Scores,Scores,Contagem,Points,Partitur,множество,スコア,점수,Pontuações,Điểm,Skor,比分,比分
On,On,Activar,Activé,Ein,Включить,オン,켜기,Ligado,Bật,Nyala,开,開啟
Off,Off,Apagar,Désactivé,Aus,Выключить,オフ,끄기,Desligado,Tắt,Mati,关,關閉
LEADERBOARD,LEADERBOARD,TABLERO DE PUNTUACIONES,TABLEAU DE CLASSEMENT,RANGLISTE,ТАБЛИЦА РЕКОРДОВ,リーダーボード,순위표,MELHORES PONTUAÇÕES,Bảng xếp hạng,PAPAN PERINGKAT,排行榜,記分板
CREDIT_TEXT1,Exploring <color='#00E031'>INWAVE's</color> design collaboration with <color='#00E031'>AMANOTES'</color> content!,¡Explorando la colaboración de diseño de INWAVE con el contenido de AMANOTES!,Exploration de la collaboration conceptuelle d'INWAVE avec du contenu de AMANOTES!,"Entdecke ein Gemeinschaftswerk, das INWAVEs Design und AMANOTES Inhalte vereint!",Исследуем совместный дизайн INWAVE с контентом AMANOTES!,<color='#00E031'>INWAVE</color>のデザインと <color='#00E031'>AMANOTES</color>のコンテンツと のコラボレーション！,<color='#00E031'>INWAVE</color> 디자인과 <color='#00E031'>AMANOTES</color> 콘텐츠의 컬래버레이션을 살펴봅니다!,Explorando a colaboração de design da <color='#00E031'>INWAVE</color> com o conteúdo da <color='#00E031'>AMANOTES</color>!,Trải nghiệm thiết kế của <color=‘#00E031'>INWAVE's</color> và nội dung của <color=‘#00E031'>AMANOTES'</color>!,Menjelajahi kolaborasi desain INWAVE dengan konten AMANOTES!,探索 INWAVE 的设计与 AMANOTES内容的关联！,探索 INWAVE 的設計與 AMANOTES 合作的內容！
CREDIT_TEXT2,Meet our team,Conoce a nuestro equipo,Découvrez notre équipe,Lerne unser Team kennen,Встречайте нашу команду,チーム紹介,팀 소개,Conheça nossa equipe,Đội của chúng tôi,Temui tim kami,认识我们的团队,認識我們的團隊
DAILY_CHALLENGE,DAILY CHALLENGE,RETO DIARIO,CHALLENGE QUOTIDIEN,TÄGLICHE HERAUSFORDERUNG,ЕЖЕДНЕВНОЕ ИСПЫТАНИЕ,毎日の挑戦,일일 도전,DESAFIO DIÁRIO,THỬ THÁCH HÀNG NGÀY,TANTANGAN SEHARI-HARI,每日的挑战,每日的挑戰
Loading,Loading...,Cargando...,Chargement...,Beladung...,загрузка...,ロード中...,로딩 중...,Carregando...,Đang tải...,Pemuatan...,载入中...,載入中...
Downloading,Downloading data... Please wait!,"Descargando datos... ¡Espera, por favor!",Téléchargement des données... Veuillez patienter !,Daten werden heruntergeladen … Bitte warten!,"Данные загружаются... Пожалуйста, подождите!",データをダウンロードしています…お待ちください！,데이터 다운로드 중... 기다려 주세요!,"Baixando os dados... Por favor, aguarde!",Đang tải dữ liệu... Vui lòng chờ!,Mengunduh data... Harap tunggu!,正在下载数据…… 请稍后！,正在下載數據…請稍等！
View,View,Ver,Voir,Besichtigen,Посмотреть,見る,보기,Veja,Xem,Melihat,视图,視圖
YourScore,Your score :,Tu puntuación :,Ton score :,Ihre Punktzahl :,Ваш счет:,あなたのスコア：,내 점수 :,Sua pontuação:,Điểm của bạn :,Nilai Anda :,你的分数 :,你的分數 :
Score,Score,Puntuación,Général,Punkte,Счет,スコア,점수,Pontuação,Điểm,Skor,得分,分數
Received,Received,Recibido,Reçu,Empfangen,Получено,獲得,받음,Recebido,Đã nhận,Diterima,收到,收到
NEW_HIGHSCORE,NEW HIGHSCORE,NUEVA MEJOR PUNTUACIÓN,NOUVEAU RECORD,NEUER HIGHSCORE,НОВЫЙ РЕКОРД,新ハイスコア,새로운 최고 점수,NOVO PLACAR MÁXIMO,KỶ LỤC MỚI,SKOR TERTINGGI BARU,新高分,新高分
YES,YES,SÍ,OUI,JA,ДА,はい,예,SIM,CÓ,YA,是,是
NO,NO,NO,NON,NEIN,НЕТ,いいえ,아니요,NÃO,KHÔNG,TIDAK,否,否
PERMISSION_NEEDED,Permission Needed,Permiso requerido,Autorisation requise,Berechtigung erforderlich,Требуется разрешение,許可が必要です,권한이 필요합니다,Permissão necessária,Cấp quyền,Diperlukan Izin,需要权限,需要許可
PERMISSION_DESC,"To play your song, we need to access the phone's storage. After closing this pop-up, we request a permission:","Para reproducir tu canción, necesitamos acceso al almacenamiento del teléfono. Tras cerrar este mensaje, solicitaremos un permiso:","Pour jouer votre chanson, nous devons accéder à la mémoire du téléphone. \n Nous demanderons une autorisation après la fermeture de cette fenêtre","Um dein Lied wiedergeben zu können, benötigen wir Zugriff auf den Telefonspeicher. \n Nach Schließen dieses Pop-ups bitten wir um eine Berechtigung","Чтобы сыграть вашу песню, нам необходим доступ к хранилищу телефона. Мы попросим разрешение после того, как вы закроете это всплывающее окно:",曲をプレイするには、\n携帯電話のストレージに\nアクセスする必要があります。\nこのポップアップを閉じた後、\n次のストレージ,"노래를 플레이하려면, 스마트폰의 저장소에 접근해야 합니다. 이 팝업 창을 닫으면 다음 권한을 요청하게 됩니다.","Para tocar sua música, precisamos acessar o armazenamento do telefone. Após o fechamento dessa janela, solicitaremos uma permissão:","Để chơi được bài hát của bạn, chúng tôi cần quyền truy cập bộ nhớ lưu trữ","Untuk dapat memainkan lagu Anda, kami harus mengakses penyimpanan ponsel Anda. Setelah sembulan ini ditutup, kami akan meminta izin:",“我们需要访问手机存储空间以播放您的曲目。关闭此弹出窗口后，我们将申请权限：”,「要播放你的歌曲，我們需要取得手機裡的存儲空間。關閉此彈出視窗後，我們會請求權限：」
STORAGE,- Storage,- Almacenamiento,- Mémoire,- Speicher,— Хранилище,ストレージ,- 저장소,- Armazenamento,- Bộ nhớ lưu trữ,- Penyimpanan,- 存储空间,- 儲存空間
CONFIRM,Confirm,Confirmar,Confirmer,Bestätigen,Подтвердить,確認する,확인,Confirmar,Xác nhận,Konfirmasikan,确认,確認
TOUCH_SCREEN_CONTINUE,Touch to continue!,¡Toca para continuar!,Appuyez pour continuer !,Zum Fortfahren Bildschirm berühren!,"Нажмите, чтобы продолжить!",続けるには\nタッチしてください！,터치하여 계속하세요!,Toque para continuar!,Chạm vào màn hình để tiếp tục!,Sentuh untuk melanjutkan!,触摸以继续！,碰觸以繼續！
PUSH_4,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Наслаждайтесь музыкой на Танцующей дороге сейчас ♫,♫ 今すぐ『ダンシング・ロード』ゲームの音楽を楽しむ ♫,♫ 지금 바로 댄싱 로드의 음악을 즐겨보세요 ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫,♫ Enjoy music in Dancing Road now ♫
PUSH_5,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Время играть в Танцующий путь ♫,♫ 『ダンシング・ロード』をプレイしてみよう ♫,♫ 댄싱 로드를 플레이할 시간이에요 ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫,♫ Time to play Dancing Road ♫
PUSH_6,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ время EDM. Танцевальная дорога время ♫,♫ 電子音のダンスミュージックで楽しもう。ダンシング・ロードの時間 ♫,♫ EDM을 즐길 시간. 댄싱 로드를 즐길 시간 ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫,♫ EDM time. Dancing Road time ♫
BACKGROUND_MUSIC,BACKGROUND MUSIC,MÚSICA DE FONDO,MUSIQUE DE FOND,HINTERGRUNDMUSIK,ФОНОВАЯ МУЗЫКА,バックグラウンドミュージック,배경음악,MÚSICA DE FUNDO,NHẠC NỀN,LATARBELAKANG MUSIK,背景音乐,背景音樂
Get,Get,Get,Get,Get,Получить,手に入れる,받기,Get,Get,Get,Get,Get
TRAIL,TRAIL,TRAIL,TRAIL,TRAIL,ПРОБНЫЙ,トレイル,코스,TRAIL,TRAIL,TRAIL,TRAIL,TRAIL
NewSongsUnlocked,New songs unlocked,New songs unlocked,New songs unlocked,New songs unlocked,Новые песни разблокированы,新しい曲がアンロックされました,열린 새 곡,New songs unlocked,New songs unlocked,New songs unlocked,New songs unlocked,New songs unlocked
PlayMySong,Play My Song,Play My Song,Play My Song,Play My Song,Слушать мою песню,マイソングを再生する,내 노래 플레이,Play My Song,Play My Song,Play My Song,Play My Song,Play My Song
FreeTrial,Free first,Free first,Free first,Free first,Сначала бесплатно,初回無料,첫 곡 무료,Free first,Free first,Free first,Free first,Free first
WatchAds,Watch a video,Watch a video,Watch a video,Watch a video,Смотреть видео,動画広告を見る,동영상 보기,Watch a video,Watch a video,Watch a video,Watch a video,Watch a video
LOADING_MP3_FILE,LOADING MP3 FILE...,LOADING MP3 FILE...,LOADING MP3 FILE...,LOADING MP3 FILE...,ЗАГРУЗКА ФАЙЛА MP3 …,MP3ファイルを読み込んでいます...,MP3 파일 로딩 중...,LOADING MP3 FILE...,LOADING MP3 FILE...,LOADING MP3 FILE...,LOADING MP3 FILE...,LOADING MP3 FILE...
MISSING_MP3_FILE,MISSING MP3 FILE!,MISSING MP3 FILE!,MISSING MP3 FILE!,MISSING MP3 FILE!,Пропущенный MP3-файл!,MP3ファイルが見つかりません！,MP3 파일이 없습니다!,MISSING MP3 FILE!,MISSING MP3 FILE!,MISSING MP3 FILE!,MISSING MP3 FILE!,MISSING MP3 FILE!
READING_MUSIC_SHEET,READING MUSIC SHEET...,READING MUSIC SHEET...,READING MUSIC SHEET...,READING MUSIC SHEET...,ЧТЕНИЕ МУЗЫКАЛЬНОГО ЛИСТА …,音楽ファイルを分析しています...,악보 읽는 중...,READING MUSIC SHEET...,READING MUSIC SHEET...,READING MUSIC SHEET...,READING MUSIC SHEET...,READING MUSIC SHEET...
IMPORT_FILE_DONE,IMPORT FILE DONE!,IMPORT FILE DONE!,IMPORT FILE DONE!,IMPORT FILE DONE!,ИМПОРТ ФАЙЛ СДЕЛАН!,ファイルのインポートが完了しました！,파일을 가져왔습니다!,IMPORT FILE DONE!,IMPORT FILE DONE!,IMPORT FILE DONE!,IMPORT FILE DONE!,IMPORT FILE DONE!
DONE,DONE,DONE,DONE,DONE,СДЕЛАНО,完了,완료,DONE,DONE,DONE,DONE,DONE
FAILED,FAILED,FAILED,FAILED,FAILED,НЕ УДАЛОСЬ,失敗,실패,FAILED,FAILED,FAILED,FAILED,FAILED
PERMISSION_STEP2_DESC,You was denied Storage permission. Please enable it in the app settting:,You was denied Storage permission. Please enable it in the app settting:,You was denied Storage permission. Please enable it in the app settting:,You was denied Storage permission. Please enable it in the app settting:,"Вам было отказано в разрешении на хранение. Пожалуйста, включите его в настройках приложения:",ストレージへのアクセスが拒否されました。アプリの設定で有効にしてください：,저장소 권한이 거부되었습니다. 다음 앱 설정에서 활성화해주세요.,You was denied Storage permission. Please enable it in the app settting:,Bạn đã từ chối quyền truy cập bộ nhớ. Vui lòng bật lại nó trong cài đặt ứng dụng,You was denied Storage permission. Please enable it in the app settting:,You was denied Storage permission. Please enable it in the app settting:,You was denied Storage permission. Please enable it in the app settting:
RATE_FOR_US,RATE FOR US,RATE FOR US,RATE FOR US,RATE FOR US,ЦЕНА ДЛЯ НАС,アプリを評価する,평가 남기기,RATE FOR US,RATE FOR US,RATE FOR US,RATE FOR US,RATE FOR US
WriteAComment,Write a comment,Write a comment,Write a comment,Write a comment,Написать комментарий,コメントを書く,의견 쓰기,Write a comment,Write a comment,Write a comment,Write a comment,Write a comment
SUBMIT,SUBMIT,SUBMIT,SUBMIT,SUBMIT,РАЗМЕСТИТЬ,送信する,제출,SUBMIT,SUBMIT,SUBMIT,SUBMIT,SUBMIT
CommentHolder,Comment...,Comment...,Comment...,Comment...,Комментарий…,コメント...,의견...,Comment...,Comment...,Comment...,Comment...,Comment...
ERROR_GET_PACKAGE,Error when get package information!,Error when get package information!,Error when get package information!,Error when get package information!,Ошибка при получении информации о пакете!,パッケージ情報の取得時にエラーが発生しました！,패키지 정보를 가져오는 동안 오류가 발생했어요!,Error when get package information!,Error when get package information!,Error when get package information!,Error when get package information!,Error when get package information!
START_SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION,НАЧАТЬ ПОДПИСКУ,定額制サービスを開始する,구독 시작,START SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION,START SUBSCRIPTION
UNLOCK_ALL_VIP_SONGS,Unlock all VIP songs,Unlock all VIP songs,Unlock all VIP songs,Unlock all VIP songs,Разблокировать все VIP песни,すべてのVIP曲をアンロックする,VIP 노래 모두 열기,Unlock all VIP songs,Unlock all VIP songs,Unlock all VIP songs,Unlock all VIP songs,Unlock all VIP songs
FREE_GOLD_EVERYDAY,{0} free gold everyday,{0} free gold everyday,{0} free gold everyday,{0} free gold everyday,{0} бесплатное золото каждый день,{0}毎日無料ゴールド,매일 무료 골드 {0}개,{0} free gold everyday,{0} free gold everyday,{0} free gold everyday,{0} free gold everyday,{0} free gold everyday
SUB_DESC,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0}일 무료 체험판 이후 매주 {1}개,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK,{0} DAYS FREE TRIAL THEN {1} / WEEK
SUB_DESC_DISCOUNT,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0}일 무료 체험판 이후,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN,{0} DAYS FREE TRIAL THEN
SUB_DESC_UR,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0}일 무료 체험판 이후 매주 {1}개,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week,{0} days Free Trial then {1} / week
NOPOPUP_ADS,No pop-up ads,No pop-up ads,No pop-up ads,No pop-up ads,Нет всплывающей рекламы,ポップアップ広告なし,팝업 광고 없음,No pop-up ads,Không pop-up quảng cáo,No pop-up ads,No pop-up ads,No pop-up ads
CANCEL_ANYTIME,Cancel anytime,Cancel anytime,Cancel anytime,Cancel anytime,Отменить в любое время,いつでもキャンセル可能,언제든지 취소 가능,Cancel anytime,Cancel anytime,Cancel anytime,Cancel anytime,Cancel anytime
CHOOSE_FAVORITE,Choose your favorite,Choose your favorite,Choose your favorite,Choose your favorite,Выбери свой любимый,お気に入りを選ぶ,선택할 선호하는:,Choose your favorite,Chọn yêu thích,Choose your favorite,Choose your favorite,Choose your favorite
ARTIST,ARTIST,ARTIST,ARTIST,ARTIST,ХУДОЖНИК,アーティスト,아티스트,ARTIST,NGHỆ SỸ,ARTIST,ARTIST,ARTIST
GENRE,GENRE,GENRE,GENRE,GENRE,ЖАНР,ジャンル,장르,GENRE,THỂ LOẠI,GENRE,GENRE,GENRE
NEXT,NEXT,NEXT,NEXT,NEXT,СЛЕДУЮЩИЙ,次,다음,NEXT,NEXT,NEXT,NEXT,NEXT
ENJOY_5KSONGS,Enjoy 5000+ songs!,Enjoy 5000+ songs!,Enjoy 5000+ songs!,Enjoy 5000+ songs!,Наслаждайтесь 2000+ песен!,2000曲以上の曲を楽しもう！,"5,000곡 이상 즐겨보세요!",Enjoy 5000+ songs!,Enjoy 5000+ songs!,Enjoy 5000+ songs!,Enjoy 5000+ songs!,Enjoy 5000+ songs!
TOP_HIT_DESC,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Лучшие хиты всех жанров. Обновление Еженедельно,あらゆるジャンルのヒット曲。毎週更新,모든 장르의 최고 인기곡. 매주 업데이트,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly,Top hits from all genres. Update Weekly
JUMP_ALONG,Jump along to popular songs!,¡Salta a las canciones populares!,Accédez aux chansons populaires!,Springe zu beliebten Songs!,Перейти к популярным песням!,人気曲にあわせてジャンプしよう！,인기 있는 곡을 따라 뛰어오르세요!,Ir para músicas populares!,Phiêu cùng những bài hát nổi tiếng!,Ikuti lagu-lagu populer!,跳到流行歌曲！,跳到流行歌曲！
SUB_DES_2,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#오류가 발생했어요!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
BtnPrivacyPolicy,Privacy Policy,Política de privacidad,Politique de confidentialité,Datenschutz-Bestimmungen,политика конфиденциальности,個人情報保護方針,개인정보 보호방침,Política de Privacidade,Chính sách bảo mật,Kebijakan pribadi,隐私政策,隱私政策
BtnTermsOfService,Terms Of Service,Términos de servicio,Conditions d'utilisation,Nutzungsbedingungen,Условия обслуживания,サービス利用規約,이용약관,Termos de serviço,Điều khoản dịch vụ,Ketentuan Layanan,服务条款,服務條款
VIP_ACCESS,VIP ACCESS,ACCESO VIP,ACCÈS VIP,VIP-ZUGRIFF,VIP ДОСТУП,VIPアクセス,VIP 이용,ACESSO VIP,NÂNG CẤP VIP,AKSES VIP,贵宾通道,貴賓通道
DAILY_VIP_REWARD,DAILY VIP REWARD,PREMIO DIARIO VIP,RÉCOMPENSE VIP QUOTIDIENNE,TÄGLICHE VIP-BELOHNUNG,Ежедневная VIP Награда,デイリー VIP報酬,일일 VIP 보상,RECOMPENSA VIP DIÁRIA,THƯỞNG VIP HÀNG NGÀY,HADIAH VIP HARIAN,每日VIP奖励,每日VIP獎勵
DAILY_VIP_DES,Thank you for upgrading to VIP Membership,Gracias por actualizar a Membresía VIP,Merci de passer à l'adhésion VIP,Vielen Dank für das Upgrade auf die VIP-Mitgliedschaft,Спасибо за переход на VIP-членство,VIP会員にアップグレードしていただきありがとうございます,VIP 멤버십으로 업그레이드해주셔서 감사합니다,Obrigado por atualizar para a Associação VIP,Cảm ơn bạn đã nâng cấp lên thành viên VIP,Terima kasih telah meningkatkan ke Keanggotaan VIP,感谢您升级为VIP会员,感謝您升級為VIP會員
VIP_REWARD,VIP REWARD,PREMIO VIP,RÉCOMPENSE VIP,VIP BELOHNUNG,VIP НАГРАДА,VIP報酬,VIP 보상,RECOMPENSA VIP,THƯỞNG VIP,HADIAH VIP,VIP奖励,VIP獎勵
UNLOCK_BIG_BUTTON,UNLOCK,DESBLOQUEO,DÉVERROUILLER,ENTSPERREN,ОТКРЫТЬ,アンロックする,열기,DESBLOQUEAR,MỞ,UNLOCK,解锁,解鎖
DAYS_LEFT,{0} Days Left,{0} Days Left,{0} Days Left,{0} Days Left,{0} Days Left,{0} Days Left,{0}일 남음,{0} Days Left,{0} Days Left,{0} Days Left,{0} Days Left,{0} Days Left
LAST_DAY,Last Day,Last Day,Last Day,Last Day,Last Day,Last Day,마지막 날,Last Day,Last Day,Last Day,Last Day,Last Day
AFTER_LAST_DAY,After Last Day,After Last Day,After Last Day,After Last Day,After Last Day,After Last Day,마지막 날 이후,After Last Day,After Last Day,After Last Day,After Last Day,After Last Day
UNLOCKED_ENDLESS_MODE,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,무한 모드가 열림,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode,Unlocked Endless Mode
NO_THANKS,No thanks,"No, gracias",Non merci,"Nein, danke","Нет, спасибо",いいえ、結構です,"아니요, 괜찮아요","Não, obrigado","KHÔNG, CẢM ƠN","Tidak, terima kasih",不，谢谢,不用了，謝謝
SCANNING,Scanning...,Scanning,Numérisation…,Scannt...,Сканирование...,スキャン中です...,스캔 중,Escaneando...,Đang quét,Memindai...,正在扫描……,掃描中⋯⋯
SEARCH,Search,Search,Recherche,Suche,Поиск,検索,검색,Procurar,Tìm kiếm,Cari,搜索,搜尋
PROCESSING_FOLDERS_PLEASE_WAIT,"Mp3 files searching, please wait ...",Processing folders ... Please wait ...,"Recherche de fichiers MP3 en cours, veuillez patienter…","Sucht nach MP3-Dateien, bitte warten ...","Поиск файлов Mp3, пожалуйста, подождите...",MP3ファイル検索中です、お待ちください...,"MP3 파일 검색 중이니, 기다려 주세요...","Pesquisando arquivos MP3, aguarde ...",Đang xử lý thư mục ... Vui lòng đợi ...,"Sedang mencari file Mp3, harap tunggu...",正在搜索 mp3 文件，请稍候…,搜尋 Mp3 檔案中，請稍候⋯⋯
NO_MP3_FILE_CAN_IMPORT,No Mp3 file imported!,No Mp3 file can import!,Aucun fichier MP3 importé !,Keine MP3-Dateien importiert!,Ни один файл Mp3 не импортирован!,MP3ファイルはインポートされませんでした！,가져온 MP3 파일이 없습니다!,Nenhum arquivo MP3 importado!,Không có bài mp3 nào để nhập!,Tidak ada file Mp3 yang diimpor!,没有导入的 mp3 文件！,無 Mp3 檔案匯入！
IMPORT_YOUR_SONGS,IMPORT MY SONG (MP3),IMPORTAR MI CANCIÓN (MP3),IMPORTER MA CHANSON (MP3),MEIN LIED IMPORTIEREN (MP3),ИМПОРТИРОВАТЬ МОЮ ПЕСНЮ (MP3),自分の曲をインポートする（MP3）,내 노래 가져오기(MP3),IMPORTAR MINHA MÚSICA (MP3),THÊM BÀI HÁT CỦA BẠN (MP3),IMPOR LAGU SAYA (MP3),导入我的曲目 (MP3),上傳我的歌曲 (MP3)
ASK_IMPORT,Continue import?,¿Continuar importación?,Continuer l'importation?,Importieren fortsetzen?,Продолжить импорт?,インポートを続けますか？,가져오기를 계속할까요?,Continuar importação?,Bạn có muốn thêm bài hát này?,Lanjutkan mengimpor?,是否继续导入？,繼續上傳？
IMPORTING,Importing...,Importando...,Importation en cours...,Importiere …,Идет импорт...,インポート中…,가져오는 중...,Importando...,Đang xử lý...,Mengimpor...,正在导入……,上傳中...
SUCCESSFULLY,Successful!,¡Importación correcta!,Importation réussie !,Vorgang erfolgreich abgeschlossen!,Готово!,成功！,성공!,Sucesso!,Thành công!,Berhasil!,成功！,成功！
FREE_FIRST_TIME,Free Trial,Prueba gratis,Essai gratuit,Kostenlose Testversion,Бесплатный пробный период,無料トライアル,무료 체험판,Teste grátis,Miễn phí lần đầu,Coba Gratis,免费试玩,免費試用
EMPTY_FOLDER,Empty folder!,¡Carpeta vacía!,Dossier vide !,Leerer Ordner!,Пустая папка!,フォルダが空です！,빈 폴더입니다!,Pasta vazia!,Thư mục rỗng!,Folder kosong!,空文件夹！,空文件夾！
